lr-SGD,step,train_loss,epoch,val_loss,val_acc
0.004515908472708802,49,,,,
,49,1.7874455451965332,0,,
0.006094337346443185,99,,,,
,99,1.6630326509475708,0,,
0.00870017525534593,149,,,,
,149,1.5609623193740845,0,,
,156,,0,1.6011345386505127,0.4401000142097473
0.012275101259100904,199,,,,
,199,1.2628231048583984,1,,
0.01673910537497382,249,,,,
,249,1.2529174089431763,1,,
0.02199227927147432,299,,,,
,299,1.1256260871887207,1,,
,313,,1,1.3067783117294312,0.5339999794960022
0.0279170523045338,349,,,,
,349,1.0180013179779053,2,,
0.034380822851746165,399,,,,
,399,0.9115658402442932,2,,
0.04123892605310105,449,,,,
,449,0.9630817174911499,2,,
,470,,2,1.3823658227920532,0.5799000263214111
